,n_solutions,log_n_solutions,log_n_standardized
2028-03-19,85,4.442651256490317,0.02840571335035721
2028-03-20,175,5.1647859739235145,1.0073672204578377
2028-03-21,121,4.795790545596741,0.5071387839764349
2028-03-22,353,5.8664680569332965,1.9586021256777448
2028-03-23,98,4.584967478670572,0.2213366166680118
2028-03-24,78,4.356708826689592,-0.08810209131696171
2028-03-25,81,4.394449154672439,-0.03693943777200635
2028-03-26,75,4.31748811353631,-0.14127162815192015
2028-03-27,64,4.1588830833596715,-0.35628444449794067
2028-03-28,444,6.095824562432225,2.269529138141879
2028-03-29,206,5.327876168789581,1.22846034769044
2028-03-30,188,5.236441962829949,1.1045076198869919
2028-03-31,231,5.442417710521793,1.3837385217119702
2028-04-01,77,4.343805421853684,-0.10559458453190892
2028-04-02,113,4.727387818712341,0.4144086673036983
2028-04-03,83,4.418840607796598,-0.0038731786176994703
2028-04-04,125,4.8283137373023015,0.5512288297800644
2028-04-05,82,4.406719247264253,-0.020305493930160852
2028-04-06,32,3.4657359027997265,-1.2959490142062047
2028-04-07,250,5.521460917862246,1.4908933994883278
2028-04-08,221,5.3981627015177525,1.3237442446529135
2028-04-09,93,4.532599493153256,0.15034398774630803
2028-04-10,114,4.736198448394496,0.4263527922764824
2028-04-11,96,4.564348191467836,0.1933840920376752
2028-04-12,94,4.543294782270004,0.16484305017872736
2028-04-13,159,5.0689042022202315,0.8773851527566482
2028-04-14,174,5.159055299214529,0.9995984346420941
2028-04-15,76,4.330733340286331,-0.12331574425913348
2028-04-16,101,4.61512051684126,0.2622135652190641
2028-04-17,96,4.564348191467836,0.1933840920376752
2028-04-18,122,4.804021044733257,0.5182964553145053
2028-04-19,90,4.499809670330265,0.1058924836243611
2028-04-20,82,4.406719247264253,-0.020305493930160852
2028-04-21,69,4.23410650459726,-0.2543078575166584
2028-04-22,305,5.720311776607412,1.7604654497821044
2028-04-23,131,4.875197323201151,0.6147865355683706
2028-04-24,78,4.356708826689592,-0.08810209131696171
2028-04-25,97,4.574710978503383,0.2074323982182891
2028-04-26,60,4.0943445622221,-0.4437760529112547
2028-04-27,81,4.394449154672439,-0.03693943777200635
2028-04-28,218,5.384495062789089,1.3052157182084683
2028-04-29,254,5.537334267018537,1.5124120959832417
2028-04-30,118,4.770684624465665,0.4731039566866453
2028-05-01,98,4.584967478670572,0.2213366166680118
2028-05-02,29,3.367295829986474,-1.4293992413100503
2028-05-03,43,3.7612001156935624,-0.8954031268972589
2028-05-04,25,3.2188758248682006,-1.6306047343958
2028-05-05,82,4.406719247264253,-0.020305493930160852
2028-05-06,32,3.4657359027997265,-1.2959490142062047
2028-05-07,236,5.4638318050256105,1.4127685263949097
2028-05-08,91,4.51085950651685,0.12087218758453032
2028-05-09,53,3.970291913552122,-0.6119479534872316
2028-05-10,41,3.713572066704308,-0.9599700636384254
2028-05-11,46,3.828641396489095,-0.8039763940522743
2028-05-12,28,3.332204510175204,-1.4769707684773612
2028-05-13,41,3.713572066704308,-0.9599700636384254
2028-05-14,31,3.4339872044851463,-1.3389891184975724
2028-05-15,19,2.9444389791664403,-2.0026448836756625
2028-05-16,51,3.9318256327243257,-0.6640947445816267
2028-05-17,30,3.4011973816621555,-1.3834406226195186
2028-05-18,58,4.060443010546419,-0.48973467160178635
2028-05-19,28,3.332204510175204,-1.4769707684773612
2028-05-20,52,3.9512437185814275,-0.637770627852577
2028-05-21,11,2.3978952727983707,-2.743566539385546
2028-05-22,133,4.890349128221754,0.6353270711779744
2028-05-23,63,4.143134726391533,-0.3776336954061301
2028-05-24,20,2.995732273553991,-1.9331091591551346
2028-05-25,36,3.58351893845611,-1.136276510843238
2028-05-26,28,3.332204510175204,-1.4769707684773612
2028-05-27,41,3.713572066704308,-0.9599700636384254
2028-05-28,154,5.0369526024136295,0.8340699851763557
2028-05-29,75,4.31748811353631,-0.14127162815192015
2028-05-30,105,4.653960350157523,0.31486676252585316
2028-05-31,68,4.219507705176107,-0.2740987114089774
2028-06-01,296,5.69035945432406,1.7198606016062632
2028-06-02,128,4.852030263919617,0.5833801252103239
2028-06-03,101,4.61512051684126,0.2622135652190641
2028-06-04,205,5.3230099791384085,1.2218635005374383
2028-06-05,142,4.955827057601261,0.7240921878247435
2028-06-06,184,5.214935757608986,1.0753527453642548
2028-06-07,483,6.180016653652572,2.383664097336977
2028-06-08,229,5.43372200355424,1.371950191649985
2028-06-09,125,4.8283137373023015,0.5512288297800644
2028-06-10,170,5.135798437050262,0.9680702830586217
2028-06-11,168,5.123963979403259,0.952026907474783
2028-06-12,229,5.43372200355424,1.371950191649985
